id,name,numOfEmptySlots,numOfBikesAvail,numSlotsTot,latitude,longitude
0001,10th & Cambie,14,21,35,49.262487,-123.114397
0004,Yaletown-Roundhouse Station,8,8,16,49.274566,-123.121817
0005,Dunsmuir & Beatty,16,9,26,49.279764,-123.110154
0007,12th & Yukon (City Hall),12,4,16,49.260599,-123.113504
0008,8th & Ash,6,10,16,49.264215,-123.117772
0009,Spyglass & Seawall,8,6,14,49.270877,-123.115103
0010,Stamps Landing,12,1,14,49.26893,-123.11813
0011,Ontario & Seawall,10,8,20,49.271721,-123.104207
0014,Canada Place,13,13,26,49.287214,-123.11287
0015,Granville & Georgia,8,11,20,49.282409,-123.118541
0016,Pender & Burrard,6,19,26,49.287097,-123.118551
0017,Marinaside & Davie,8,14,22,49.273471,-123.118016
0019,Robson & Hornby,9,19,30,49.282758,-123.122092
0024,Hornby & Pender,15,6,22,49.28602,-123.116624
0025,Homer & Robson (Vancouver Public Library),9,10,20,49.279739,-123.116251
0026,Beatty & Robson,8,11,20,49.277483,-123.114279
0027,Beatty & Nelson,13,1,14,49.275679,-123.116963
0030,Abbott & Cordova,9,13,22,49.282759,-123.106955
0032,Comox & Denman,5,12,18,49.288444,-123.139203
0034,Cordova & Bute,11,3,14,49.289124,-123.12196
0037,Hornby & Nelson,15,2,18,49.28062,-123.12482
0039,Helmcken & Burrard,12,2,15,49.279938,-123.127478
0044,Pacific & Richards,11,2,14,49.273663,-123.127075
0047,Chilco & Beach,5,8,14,49.28972,-123.144028
0048,Comox & Broughton,7,4,12,49.285253,-123.134356
0050,Bute & Comox,7,13,22,49.283343,-123.131099
0052,Cambie & Water,16,16,32,49.284605,-123.108662
0053,Keefer & Abbott,12,14,28,49.279821,-123.10802
0054,Expo & Carrall,5,11,16,49.278004,-123.105664
0055,Keefer & Columbia,1,13,14,49.279342,-123.101822
0057,Marinaside & Cooperage,11,15,26,49.273833,-123.114373
0060,Bidwell & Burnaby,33,42,74,49.28526,-123.141809
0063,Robson & Granville,15,15,30,49.281506,-123.120101
0064,Expo & Smithe,4,10,14,49.276115,-123.114496
0065,Cypress & Cornwall,12,10,22,49.272827,-123.147744
0066,Anderson & 2nd,12,15,28,49.269361,-123.13782
0069,7th & Granville,11,2,14,49.2653,-123.13811
0070,10th & Granville,10,4,14,49.262598,-123.138921
0071,14th & Granville,13,1,14,49.25894,-123.139272
0072,14th & Cambie,10,3,14,49.258763,-123.115392
0073,Ontario & 5th,12,8,20,49.266724,-123.104824
0074,10th & Main,17,0,18,49.262141,-123.101961
0076,Cypress & 4th,17,1,18,49.268269,-123.147885
0077,Vanier Park,23,5,28,49.275717,-123.142564
0078,Nelson & Mainland,10,10,20,49.276436,-123.11877
0079,Nelson & Richards,17,1,18,49.277844,-123.120942
0081,7th & Heather,8,9,18,49.265089,-123.119425
0088,Harwood & Bute,5,13,20,49.28026,-123.135244
0092,Chilco & Barclay,11,7,18,49.291909,-123.140713
0093,Chilco & Robson,10,6,16,49.293257,-123.138563
0096,Nicola & Robson,17,1,18,49.288011,-123.132006
0098,Carrall & Hastings,13,5,18,49.28117,-123.104419
0099,šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,10,17,28,49.283227,-123.120523
0101,Stanley Park - Vancouver Aquarium,14,2,16,49.299292,-123.130281
0102,Stanley Park - Second Beach North,5,11,16,49.29534,-123.150433
0104,Stanley Park - Second Beach South,6,13,19,49.294318,-123.148808
0105,Stanley Park - Totem Poles,9,10,20,49.298657,-123.121176
0106,Heather & 14th,15,2,18,49.259183,-123.120126
0107,8th & Ontario,14,2,16,49.263837,-123.105173
0108,1st & Chestnut,8,18,26,49.270721,-123.146175
0109,7th & Arbutus,11,5,16,49.265605,-123.152566
0110,5th & Arbutus,12,4,16,49.267222,-123.153157
0112,10th & Oak,14,11,30,49.262255,-123.126217
0113,Arbutus & 16th,38,2,40,49.257654,-123.153212
0114,Cypress & 14th,8,4,12,49.25919,-123.148268
0115,Cypress & 16th,8,3,12,49.25741,-123.148531
0123,Georgia & Thurlow,4,8,12,49.285953,-123.124066
0126,Thurlow & Pendrell,12,3,16,49.280881,-123.130672
0130,Heather & 16th,11,0,12,49.256845,-123.120071
0132,14th & Ontario,12,3,16,49.25849,-123.104799
0134,14th & Main,6,8,14,49.258425,-123.100792
0136,David Lam Park - West,10,8,18,49.270905,-123.126006
0137,Beach & Seymour,12,5,18,49.273568,-123.129935
0138,Richards & Helmcken,14,2,18,49.277141,-123.122589
0139,Burrard & 4th,9,7,16,49.267859,-123.145782
0140,Burrard & 7th,10,5,16,49.265336,-123.145823
0143,South False Creek Seawall,4,10,14,49.267628,-123.127698
0147,Chestnut & McNicoll,12,3,16,49.275938,-123.145939
0148,Creekside Park North,16,2,18,49.2756,-123.102661
0150,Alexander & Main,5,15,20,49.284157,-123.099917
0152,Arbutus Greenway & 14th,19,1,20,49.258924,-123.152591
0153,Arbutus Greenway & Fir,13,2,16,49.266774,-123.141135
0154,Kitsilano Beach Park,26,10,36,49.273355,-123.154493
0155,Arbutus & McNicoll,11,18,30,49.276144,-123.151272
0159,Vine & 4th,8,9,18,49.268339,-123.157443
0161,Alexander & Dunlevy,8,5,14,49.284062,-123.095097
0166,Alder & 11th,13,1,14,49.261742,-123.13148
0172,10th & Columbia,7,6,14,49.262206,-123.109091
0174,1st & Manitoba,16,12,28,49.27023,-123.10651
0176,10th & Ontario,13,6,20,49.262062,-123.104656
0177,Quebec & 1st,14,4,18,49.27033,-123.10275
0180,Columbia & 14th,10,4,14,49.258902,-123.109596
0187,Bute & Davie,4,16,20,49.282224,-123.132778
0191,7th & Laurel,10,4,14,49.265071,-123.123864
0192,7th &  Alder,13,3,16,49.265198,-123.131043
0193,Science World,10,6,16,49.273691,-123.102232
0197,1st & Scotia,13,7,20,49.2685027,-123.0975014
0199,Georgia & Main,9,11,20,49.278529,-123.100017
0201,Shaw Tower,14,4,18,49.288682,-123.11818
0204,York & Yew,13,7,20,49.271741,-123.155421
0205,Pine & 10th,16,3,20,49.262822,-123.14338
0206,8th & Scotia,11,1,12,49.263635,-123.099236
0207,Alberni & Jervis,18,0,20,49.28763,-123.127245
0209,Stanley Park - Information Booth,3,17,20,49.297933,-123.130758
0211,14th & Alder,9,5,14,49.258819,-123.131317
0213,Pender & Gore,10,4,14,49.280284,-123.097052
0218,Carrall & Seawall,9,9,18,49.276294,-123.106534
0221,Glen & Union,1,12,14,49.277469,-123.081315
0222,Adanac & McLean,10,12,22,49.277665,-123.073653
0223,Commercial & Adanac,7,8,16,49.277436,-123.070427
0224,Pender & Commercial,13,3,16,49.280332,-123.070068
0229,Keefer & Princess,7,7,14,49.279369,-123.091241
0230,Alexander & Railway,9,10,20,49.283992,-123.091206
0231,Napier & Commercial,7,7,14,49.274881,-123.069323
0232,Britannia Parking Lot,7,7,14,49.275882,-123.071865
0233,Thornton & National,6,8,14,49.273777,-123.092723
0236,Keith & 6th,19,9,28,49.265005,-123.079481
0237,Glen & 6th,9,11,20,49.265024,-123.08127
0239,Grant & Commercial,9,5,14,49.271377,-123.069416
0240,2nd & Commercial,16,6,22,49.268616,-123.069908
0241,4th & Commercial,10,3,14,49.266969,-123.069936
0242,8th & Commercial,12,8,20,49.263242,-123.070521
0244,10th & Commercial,19,7,26,49.261403,-123.070102
0245,Woodland & 10th,10,4,14,49.261263,-123.073707
0246,Glen & Broadway,12,6,18,49.262242,-123.081459
0248,St George & Broadway,7,5,14,49.262321,-123.09306
0249,7th & Woodland,9,3,12,49.264251,-123.073853
0250,Woodland & 4th,10,4,14,49.266751,-123.073501
0252,Woodland & Graveley,9,3,12,49.270684,-123.073562
0253,Charles & Woodland,6,7,14,49.2731,-123.0732
0255,18th & Main,13,2,16,49.254667,-123.101389
0256,Prince Edward & 16th,13,1,14,49.256694,-123.096579
0257,Prince Edward & 14th,7,7,14,49.258352,-123.096337
0258,13th & St George,11,4,16,49.258817,-123.092797
0260,10th & Fraser,6,8,14,49.26151,-123.089413
0261,8th & Fraser,13,3,16,49.263382,-123.088837
0265,St Catherines & 10th,8,4,12,49.261353,-123.085333
0266,St Catherines & 7th,19,1,20,49.264466,-123.085183
0272,Pender & Victoria,10,6,16,49.280197,-123.065859
0273,Victoria & 4th,10,6,16,49.266725,-123.065925
0274,Victoria & 10th,11,1,12,49.261188,-123.066009
0278,15th & Victoria (Trout Lake),13,5,18,49.256857,-123.065646
0280,Triumph & Victoria,15,3,18,49.283986,-123.065264
0281,Windsor & 14th,8,6,14,49.257985,-123.083366
0282,14th & Fraser,13,3,16,49.257939,-123.089531
0283,15th & Knight,10,3,14,49.256496,-123.075426
0285,Commercial & Pandora,6,9,16,49.283236,-123.070443
0287,Carolina & Great Northern Way,7,9,16,49.267266,-123.090786
0297,6th & Prince Edward,10,6,16,49.265242,-123.095577
0298,6th & Carolina,10,6,16,49.265213,-123.090785
0103,Stanley Park - Third Beach Parking Lot,22,11,38,49.302577,-123.155616
0212,Union & Dunlevy,9,6,16,49.277595,-123.09583
0228,Keefer & Hawks,9,7,16,49.279235,-123.087528
0219,Hawks & Union,11,5,16,49.277333,-123.087359
0235,Charles & Commercial,17,5,22,49.273103,-123.069892
0186,10th & Kingsway,15,4,20,49.261973,-123.09725
0045,Beach & Hornby,12,10,22,49.275295,-123.132585
0002,Burrard Station (Melville & Dunsmuir),13,14,28,49.285871,-123.12105
0300,Bute & Barclay,11,3,14,49.284893,-123.128685
0170,8th & Yukon,11,10,22,49.263962,-123.112621
0215,Princess & Union,7,5,12,49.277615,-123.091654
0012,Dunsmuir & Richards,6,14,22,49.282214,-123.114101
0198,5th & Main,15,5,20,49.266456,-123.100324
0119,3rd & Quebec,12,8,20,49.268216,-123.103168
0124,Richards & Cordova,7,9,16,49.284554,-123.111031
0129,Richards & Robson,9,11,20,49.280216,-123.117639
0006,Olympic Village Station,10,16,26,49.266314,-123.116011
0227,Campbell & Hastings,6,8,14,49.280852,-123.084746
0040,Cardero & Davie,3,5,18,49.285512,-123.1384
0083,Aquatic Centre,25,15,40,49.27821,-123.136972
0084,Beach & Broughton,13,9,22,49.281301,-123.139108
0142,Beach & Cardero,8,15,23,49.283298,-123.142288
0305,Georgia & Homer,5,13,18,49.280787,-123.115271
0165,Columbia & 5th,7,11,18,49.266476,-123.109389
0122,Haro & Denman,10,10,20,49.290587,-123.13625
0075,Arbutus & 10th,15,3,18,49.262835,-123.152626
0133,Ontario & 16th,10,4,14,49.256825,-123.105234
0082,Richards & Davie,11,2,14,49.275683,-123.124388
0262,8th & Prince Edward,12,4,18,49.263518,-123.09568
0310,Jervis & Robson,19,1,20,49.28691,-123.128818
0217,Smithe & Burrard,14,3,18,49.282503,-123.124697
0087,Broughton & Davie,5,13,22,49.283749,-123.136133
0068,Cypress & 10th,11,3,14,49.262944,-123.148109
0189,Granville Island,2,29,32,49.27029,-123.135025
0225,McLean & Pender,10,5,16,49.280427,-123.074082
0058,Richards & Smithe,3,15,18,49.279259,-123.119145
0036,Bute & Robson,22,3,26,49.285836,-123.127265
0460,Trafalgar & Cornwall,18,2,20,49.272969,-123.164325
0410,Alma & Point Grey,15,8,24,49.27247,-123.185643
0440,Point Grey & Blenheim,10,4,14,49.271471,-123.17731
0035,Hastings & Broughton,9,15,24,49.290112,-123.127062
0484,Yew & Broadway,9,8,18,49.263523,-123.155267
0452,8th & Macdonald,2,18,22,49.264928,-123.168068
0444,Balaclava & Broadway,4,14,18,49.264483,-123.173926
0415,Dunbar & Broadway,6,19,26,49.264579,-123.18373
0254,Grandview & Commercial,14,2,16,49.263746,-123.069892
0202,14th & Oak,10,4,14,49.258761,-123.127071
0401,Wallace & 4th,14,4,18,49.268974,-123.190701
0470,Balsam & Cornwall,8,12,20,49.273011,-123.159663
0443,Balaclava & 6th,1,15,16,49.266924,-123.173849
0464,Trafalgar & Broadway,5,10,16,49.264326,-123.164725
0414,Dunbar & 6th,10,6,16,49.266636,-123.183661
0531,18th & Cambie,11,12,24,49.254818,-123.114785
0431,Blenheim & 4th,16,7,23,49.268837,-123.177633
0511,18th & Heather,9,6,16,49.255034,-123.120226
0450,Point Grey & Bayswater,15,1,16,49.271044,-123.170661
0561,20th & Main,7,8,16,49.252691,-123.101289
0354,Station & Terminal,10,8,18,49.272172,-123.097978
0400,Jericho Beach,3,30,34,49.271082,-123.191458
0089,Burrard & Drake,16,8,24,49.27808,-123.130557
0173,Columbia & 1st,13,9,24,49.269969,-123.109623
0028,Davie & Beach,0,0,0,49.287528,-123.142139
0031,Morton & Denman,0,0,0,49.28803,-123.142135
0311,13th & Cambie,8,3,14,49.259579,-123.114769
0313,Nelson & Denman,6,8,18,49.2890705989865,-123.138407369468
0190,Melville & Bute,1,12,14,49.287782,-123.12395
0308,Seymour & Cordova,11,7,19,49.28512,-123.11242
0480,Arbutus & Nanton,14,4,18,49.247854,-123.153422
0171,Yukon & 6th,7,10,18,49.265939,-123.1129
0179,11th & Kingsway,5,7,16,49.261122,-123.097571
0144,Wylie & 2nd,4,12,18,49.267725,-123.11311
0526,29th & Cambie,13,7,20,49.245135,-123.116098
0314,Rolston & Granville,12,2,16,49.274232,-123.129998
0482,East Blvd & 37th,14,6,20,49.238105,-123.154966
0505,28th & Willow,10,10,20,49.246243,-123.124373
0554,Ontario & 23rd,9,2,12,49.249722,-123.104991
0557,30th & Ontario,19,2,22,49.243375,-123.104978
0642,Franklin & Nanaimo,11,8,20,49.282087,-123.056909
0631,Lakewood & Triumph,8,7,16,49.283968,-123.061615
0611,Wall & Eton,11,7,18,49.287464,-123.060771
0621,Lakewood & Oxford,11,7,18,49.285575,-123.061575
0532,22nd & Cambie,8,6,14,49.251358,-123.115637
0524,King Edward & Cambie,6,10,18,49.249184,-123.116141
0516,Heather & 29th,13,9,22,49.245535,-123.120496
0041,Cardero & Robson,19,7,26,49.289255,-123.132677
0352,Commercial & 20th,18,2,20,49.252656,-123.067965
0210,Burrard & 14th,13,4,18,49.259469,-123.145718
0196,Hornby & Drake,10,14,24,49.277178,-123.13
0200,Cardero & Bayshore,10,8,20,49.291597,-123.129158
0565,27th & Main,16,6,22,49.247204,-123.101549
0021,Cordova & Granville,11,6,18,49.2856698,-123.1125432
0563,22nd & Main,5,9,14,49.25094,-123.101306
1002,PNE - Hastings & Windermere,35,5,40,49.280977,-123.035969
0315,1st & Fir,11,9,20,49.270783,-123.141564
3000,Temporary Station - Celebration of Light,4,0,4,0.0,0.0
